[INFO ]2017-06-19 19:35:04 k.c.autorizacija.UserController - User  INSERT_INITAL_ADMIN admin profile 5 
[INFO ]2017-06-19 19:35:04 k.c.autorizacija.UserController - User  INSERT_INITAL_ADMIN admin profile 6 
[INFO ]2017-06-19 19:35:04 k.c.autorizacija.UserController - User  INSERT_INITAL_ADMIN admin profile 7 
[INFO ]2017-06-19 19:35:04 k.c.autorizacija.UserController - User  INSERT_INITAL_ADMIN admin profile 8 
[INFO ]2017-06-19 19:35:04 k.c.autorizacija.UserController - User  INSERT_INITAL_ADMIN admin profile 9 
[INFO ]2017-06-19 19:36:04 k.c.a.AuthenticationController - INFO
[INFO ]2017-06-19 19:36:04 k.c.a.AuthenticationController - User 5 LOGIN info: promjena inicijalne lozinke
[INFO ]2017-06-19 19:36:22 k.c.autorizacija.UserController - User -5 PASSWORD_CHANGE_USER 
[INFO ]2017-06-19 19:36:38 k.c.a.AuthenticationController - User 5 LOGIN 
[INFO ]2017-06-19 19:43:03 k.c.a.NaiveAuthenticationController - User 5 LOGOFF
[INFO ]2017-06-19 19:43:26 k.c.a.AuthenticationController - User 9 LOGIN 
[INFO ]2017-06-19 19:49:03 k.c.a.NaiveAuthenticationController - User 9 LOGOFF
[INFO ]2017-06-19 19:49:45 k.c.a.AuthenticationController - User 5 LOGIN 
[INFO ]2017-06-19 19:51:05 k.c.a.NaiveAuthenticationController - User 5 LOGOFF
[INFO ]2017-06-19 19:51:31 k.c.a.AuthenticationController - User 8 LOGIN 
[INFO ]2017-06-19 19:52:46 k.c.a.NaiveAuthenticationController - User 8 LOGOFF
[INFO ]2017-06-19 19:53:10 k.c.a.AuthenticationController - User 9 LOGIN 
[INFO ]2017-06-19 19:54:09 k.c.a.NaiveAuthenticationController - User 9 LOGOFF
[INFO ]2017-06-19 19:55:20 k.c.a.AuthenticationController - User 5 LOGIN 
[INFO ]2017-06-19 19:57:55 k.c.a.NaiveAuthenticationController - User 5 LOGOFF
[INFO ]2017-06-19 19:58:11 k.c.a.AuthenticationController - User 8 LOGIN 
[INFO ]2017-06-19 20:03:24 k.c.a.NaiveAuthenticationController - User 8 LOGOFF
[INFO ]2017-06-19 20:03:46 k.c.a.AuthenticationController - User 5 LOGIN 
[INFO ]2017-06-19 20:04:41 k.c.a.NaiveAuthenticationController - User 5 LOGOFF
[INFO ]2017-06-19 20:05:22 k.c.a.AuthenticationController - User 9 LOGIN 
